code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
CM,Canadian Imperial Bank of Commerce,132.11,120.437006336,3.27,0.415,13.645464,9.59,1.279,2815.775,143.8,76.17,1774569600,2026-03-27,13,73.44098726532758
IGM,IGM Financial Inc.,63.94,14.916744192,3.89,0.48490003,13.724138,4.64,1.108,461.838,69.48,38.89,1774915200,2026-03-31,17,64.41244535870403
HWX,Headwater Exploration Inc.,12.69,2.986923776,3.52,0.589,17.136986,0.73,1.079,844.103,13.29,4.75,1774915200,2026-03-31,17,167.1578947368421
TD,The Toronto-Dominion Bank,128.24,214.00190976,3.37,0.3425,10.376823,12.34,0.851,6070.926,136.49,78.06,1775692800,2026-04-09,26,64.28388419164746
BMO,Bank of Montreal,189.43,131.458342912,3.59,0.54330003,15.499583,12.01,1.16,2551.841,204.57,121.31,1777420800,2026-04-29,46,56.153655922842304
