code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,13.59,16.529414144,5.44,0.6457,11.876106,1.13,0.797,5218.244,13.98,6.87,1772150400,2026-02-27,1,97.81659388646288
GWO,Great-West Lifeco Inc.,63.93,58.565849088,3.87,0.5728,15.154928,4.26,0.696,1866.398,68.56,49.54,1772496000,2026-03-03,5,29.04723455793298
SU,Suncor Energy Inc.,76.7,91.548532736,3.15,0.4763,15.713402,4.85,0.753,7043.457,78.5,43.59,1772582400,2026-03-04,6,75.95778848359714
MFI,Maple Leaf Foods Inc.,27.76,3.446263808,3.18,0.6065,17.825806,1.55,0.947,303.593,32.31111,20.062222,1773014400,2026-03-09,11,38.36951859071245
RCI.B,Rogers Communications Inc.,53.39,29.478291456,3.68,0.157,4.2629514,12.74,0.848,1618.273,56.15,32.42,1773100800,2026-03-10,12,64.68229487970389
IGM,IGM Financial Inc.,68.8,15.984903168,3.63,0.48490003,14.706897,4.64,1.18,432.042,68.86,38.89,1774915200,2026-03-31,33,76.90923116482385
NTR,Nutrien Ltd.,99.67,48.175403008,3.02,0.5863,19.517717,5.08,1.141,1920.505,100.67,65.35,1774915200,2026-03-31,33,52.51721499617447
