code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
RCI.B,Rogers Communications Inc.,55.54,29.689972736,3.66,0.157,4.293564,12.74,0.841,1663.552,56.27,32.42,1773100800,2026-03-10,1,71.31400370141887
CM,Canadian Imperial Bank of Commerce,137.17,124.569378816,3.16,0.415,14.098958,9.6,1.279,2800.069,143.8,76.17,1774569600,2026-03-27,18,80.08402258106864
IGM,IGM Financial Inc.,68.23,15.422713856,3.77,0.48490003,14.189654,4.64,1.108,464.238,69.48,38.89,1774915200,2026-03-31,22,75.44355875546414
HWX,Headwater Exploration Inc.,12.48,2.934395904,3.58,0.589,16.835615,0.73,1.079,806.733,13.29,4.75,1774915200,2026-03-31,22,162.73684210526315
TD,The Toronto-Dominion Bank,132.78,218.332299264,3.32,0.36330003,11.250864,11.56,0.851,6242.557,136.49,78.06,1775692800,2026-04-09,31,70.09992313604918
BMO,Bank of Montreal,196.9,136.394653696,3.46,0.54330003,16.108423,11.99,1.16,2598.271,204.57,121.31,1777420800,2026-04-29,51,62.31143351743468
