code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.9,14.780399616,6.08,0.6457,10.619469,1.13,0.902,4878.132,12.12,6.87,1769731200,2026-01-30,6,73.21688500727802
BMO,Bank of Montreal,191.15,135.109779456,3.54,0.5629,16.473362,11.45,1.223,2464.249,191.51,121.31,1769731200,2026-01-30,6,57.571511004863574
MFI,Maple Leaf Foods Inc.,25.55,3.156892416,3.48,0.6065,16.329033,1.55,0.981,335.837,32.31111,18.195557,1773014400,2026-03-09,44,40.41889456860265
