code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFI,Maple Leaf Foods Inc.,28.31,3.582218752,3.11,0.6065,18.292992,1.57,0.968,314.625,32.31111,20.062222,1773014400,2026-03-09,2,41.110989600254655
RCI.B,Rogers Communications Inc.,55.54,29.689972736,3.6,0.157,4.358566,12.55,0.841,1652.788,56.27,32.42,1773100800,2026-03-10,3,71.31400370141887
CM,Canadian Imperial Bank of Commerce,137.17,124.569378816,3.12,0.45270002,15.998818,8.46,1.279,2816.585,143.8,76.17,1774569600,2026-03-27,20,80.08402258106864
IGM,IGM Financial Inc.,68.23,15.422713856,3.63,0.48490003,14.696427,4.48,1.108,459.24,69.48,38.89,1774915200,2026-03-31,24,75.44355875546414
HWX,Headwater Exploration Inc.,12.48,2.934395904,3.53,0.589,17.069445,0.72,1.079,787.173,13.29,4.75,1774915200,2026-03-31,24,162.73684210526315
TD,The Toronto-Dominion Bank,132.78,218.332299264,3.25,0.36330003,11.479259,11.33,0.851,6200.165,136.49,78.06,1775692800,2026-04-09,33,70.09992313604918
BMO,Bank of Montreal,196.9,136.394653696,3.39,0.54330003,16.42347,11.76,1.16,2625.098,204.57,121.31,1777420800,2026-04-29,53,62.31143351743468
