code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,13.59,16.948192256,5.3,0.6457,12.176991,1.13,0.797,5176.137,13.98,6.87,1772150400,2026-02-27,3,97.81659388646288
GWO,Great-West Lifeco Inc.,63.84,58.86521344,3.85,0.5728,15.232393,4.26,0.696,1847.88,68.56,49.54,1772496000,2026-03-03,7,28.865563181267675
SU,Suncor Energy Inc.,76.23,92.581625856,3.11,0.4763,15.890722,4.85,0.753,7092.624,78.5,43.59,1772582400,2026-03-04,8,74.87955953200274
MFI,Maple Leaf Foods Inc.,27.27,3.486177536,3.15,0.6065,18.032259,1.55,0.947,304.2,32.31111,19.306667,1773014400,2026-03-09,13,41.246544522677056
RCI.B,Rogers Communications Inc.,52.54,28.685832192,3.78,0.157,4.1483517,12.74,0.848,1684.188,56.15,32.42,1773100800,2026-03-10,14,62.06045650832818
IGM,IGM Financial Inc.,67.07,15.769397248,3.68,0.48490003,14.508621,4.64,1.18,430.637,68.55,38.89,1774915200,2026-03-31,35,72.46078683466185
NTR,Nutrien Ltd.,97.43,47.84986112,3.04,0.5863,19.462452,5.06,1.141,1945.39,99.94,65.35,1774915200,2026-03-31,35,49.08951798010714
