code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.63,14.275402752,6.3,0.6457,10.256638,1.13,0.902,5007.365,12.02,6.87,1769731200,2026-01-30,9,69.28675400291122
BMO,Bank of Montreal,188.64,133.104123904,3.59,0.5629,16.228823,11.45,1.223,2457.727,190.98,121.31,1769731200,2026-01-30,9,55.502431786332515
MFI,Maple Leaf Foods Inc.,26.05,3.239213824,3.39,0.6065,16.754839,1.55,0.981,333.032,32.31111,18.195557,1773014400,2026-03-09,47,43.16681814137374
