code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,74.12,88.893734912,3.24,0.4763,15.257732,4.85,0.753,6958.888,75.5,43.59,1772582400,2026-03-04,21,70.03899977058958
MFI,Maple Leaf Foods Inc.,27.36,3.37142656,3.26,0.6065,17.438711,1.55,0.947,312.022,32.31111,18.80889,1773014400,2026-03-09,26,45.463129403170505
RCI.B,Rogers Communications Inc.,50.28,27.654555648,3.93,0.157,3.9992151,12.74,0.848,1692.965,56.15,32.42,1773100800,2026-03-10,27,55.08945095619987
