code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFI,Maple Leaf Foods Inc.,26.98,3.343986176,3.28,0.6065,17.296774,1.55,0.968,314.903,32.31111,20.062222,1773014400,2026-03-09,4,34.481614249907125
RCI.B,Rogers Communications Inc.,55.14,30.004783104,3.62,0.157,4.3390894,12.74,0.841,1660.808,56.27,32.42,1773100800,2026-03-10,5,70.08019740900679
CM,Canadian Imperial Bank of Commerce,137.3,128.363986944,3.1,0.45270002,16.094406,8.58,1.279,2813.16,143.8,76.17,1774569600,2026-03-27,22,80.25469344886439
IGM,IGM Financial Inc.,67.07,16.062203904,3.62,0.48490003,14.778018,4.64,1.108,462.881,69.48,38.89,1774915200,2026-03-31,26,72.46078683466185
TD,The Toronto-Dominion Bank,133.6,226.121498624,3.21,0.36330003,11.652248,11.56,0.851,6321.212,136.49,78.06,1775692800,2026-04-09,35,71.15039713041249
BMO,Bank of Montreal,196.65,140.737757184,3.35,0.54330003,16.6075,12.0,1.16,2660.681,204.57,121.31,1777420800,2026-04-29,55,62.105349929931585
