code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,48.66,83.036143616,3.57,0.5513,15.794872,3.12,0.872,5956.656,49.82,36.93,1764115200,2025-11-26,1,31.762794476035733
WCP,Whitecap Resources Inc.,11.46,14.10668032,6.28,0.6457,10.283186,1.13,0.885,6094.493,11.91,6.87,1764288000,2025-11-28,3,66.81222707423582
SU,Suncor Energy Inc.,62.43,75.767250944,3.84,0.53150004,14.55711,4.29,0.793,7220.769,64.14,43.59,1764720000,2025-12-03,8,43.220922229869224
GWO,Great-West Lifeco Inc.,64.14,59.67464448,3.78,0.5534,14.9721575,4.31,0.715,1593.54,64.77,44.89,1764720000,2025-12-03,8,42.88260191579416
OTEX,Open Text Corporation,46.63,11.957970944,3.2,0.5563,17.479553,2.69,1.076,1078.645,56.0,32.41,1764892800,2025-12-05,10,43.87534711508796
RCI.B,Rogers Communications Inc.,54.01,29.318592512,3.71,0.1604,4.32077,12.47,0.828,1884.645,56.15,32.42,1765152000,2025-12-08,13,66.5946946329426
MFI,Maple Leaf Foods Inc.,25.58,3.11947392,3.64,0.6065,16.135485,1.55,1.019,325.31,32.31111,17.43111,1765324800,2025-12-10,15,46.749116952391425
CVE,Cenovus Energy Inc.,25.2,47.537348608,3.17,0.4393,14.566474,1.73,0.722,10923.491,26.36,14.48,1765756800,2025-12-15,20,74.03314917127071
IGM,IGM Financial Inc.,56.07,13.37291264,3.97,0.5172,13.013794,4.35,1.17,322.29,57.54,38.89,1767052800,2025-12-30,35,44.17588068912316
HWX,Headwater Exploration Inc.,8.66,2.103501056,4.99,0.589,12.068494,0.73,1.085,708.738,9.15,4.75,1767139200,2025-12-31,36,82.3157894736842
NTR,Nutrien Ltd.,79.11,38.554898432,3.87,0.5863,15.172084,5.23,1.146,1692.246,88.03,62.89,1767139200,2025-12-31,36,25.791063762124345
POW,Power Corporation of Canada,70.27,45.072175104,3.46,0.50630003,14.926161,4.74,0.987,2353.222,71.97,41.88,1767139200,2025-12-31,36,67.78892072588346
