code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,12.0,15.0267392,5.98,0.6457,10.79646,1.13,0.902,4897.057,12.22,6.87,1769731200,2026-01-30,3,74.67248908296943
BMO,Bank of Montreal,188.62,134.386311168,3.56,0.5629,16.399477,11.44,1.223,2420.124,191.51,121.31,1769731200,2026-01-30,3,55.48594509933229
MFI,Maple Leaf Foods Inc.,25.31,3.179343872,3.45,0.6065,16.445162,1.55,0.981,339.139,32.31111,18.195557,1773014400,2026-03-09,41,39.09989125367252
