code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
CM,Canadian Imperial Bank of Commerce,132.9,124.19203072,3.17,0.415,14.070908,9.59,1.279,2803.501,143.8,76.17,1774569600,2026-03-27,16,74.47814100039386
IGM,IGM Financial Inc.,64.51,15.197838336,3.82,0.48490003,13.9827585,4.64,1.108,464.069,69.48,38.89,1774915200,2026-03-31,20,65.87811776806379
HWX,Headwater Exploration Inc.,12.25,3.058552576,3.43,0.589,17.547945,0.73,1.079,829.905,13.29,4.75,1774915200,2026-03-31,20,157.89473684210526
TD,The Toronto-Dominion Bank,129.47,217.678610432,3.32,0.3425,10.546558,12.35,0.851,6102.71,136.49,78.06,1775692800,2026-04-09,29,65.85959518319241
BMO,Bank of Montreal,192.74,137.249153024,3.44,0.54330003,16.209341,11.99,1.16,2554.855,204.57,121.31,1777420800,2026-04-29,49,58.88220262138324
