code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,50.73,84.910268416,3.56,0.5733,16.495113,3.07,0.869,5929.386,52.97,36.93,1771891200,2026-02-24,5,37.367993501218514
WCP,Whitecap Resources Inc.,13.11,16.751120384,5.36,0.6457,12.0353985,1.13,0.797,5112.941,13.66,6.87,1772150400,2026-02-27,8,90.8296943231441
GWO,Great-West Lifeco Inc.,63.15,57.440980992,3.95,0.5728,14.863849,4.26,0.696,1779.755,68.56,49.54,1772496000,2026-03-03,12,27.472749293500204
SU,Suncor Energy Inc.,75.2,91.872878592,3.14,0.4763,15.7690735,4.85,0.753,7029.606,76.84,43.59,1772582400,2026-03-04,13,72.51663225510437
RCI.B,Rogers Communications Inc.,52.45,28.49043456,3.81,0.157,4.1200943,12.74,0.848,1683.071,56.15,32.42,1773100800,2026-03-10,19,61.78285009253547
IGM,IGM Financial Inc.,66.94,15.720206336,3.7,0.48490003,14.463363,4.64,1.18,424.571,68.55,38.89,1774915200,2026-03-31,40,72.12651067112368
