code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.48,14.164549632,6.34,0.6457,10.176991,1.13,0.912,5086.916,12.02,6.87,1767139200,2025-12-31,1,67.10334788937409
HWX,Headwater Exploration Inc.,9.39,2.253921536,4.66,0.589,12.931506,0.73,1.138,632.031,9.7,4.75,1767139200,2025-12-31,1,97.68421052631581
NTR,Nutrien Ltd.,86.84,41.737437184,3.58,0.5863,16.9428,5.07,1.155,1770.281,88.03,62.89,1767139200,2025-12-31,1,38.08236603593576
POW,Power Corporation of Canada,73.46,46.747648,3.34,0.50630003,15.481013,4.74,1.002,2128.491,74.91,41.88,1767139200,2025-12-31,1,75.40592168099329
TD,The Toronto-Dominion Bank,129.16,221.236559872,3.33,0.36330003,11.210207,11.56,0.891,6407.748,129.95,76.33,1767916800,2026-01-09,10,69.21262937246168
BMO,Bank of Montreal,178.4,128.799113216,3.72,0.5629,15.717658,11.44,1.223,2446.36,182.9,121.31,1769731200,2026-01-30,31,47.061248042205925
