code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,50.64,83.11615488,3.64,0.5733,16.14658,3.07,0.869,6030.132,52.97,36.93,1771891200,2026-02-24,4,37.124289195775795
WCP,Whitecap Resources Inc.,13.6,16.960508928,5.3,0.6457,12.185842,1.13,0.797,5256.04,13.98,6.87,1772150400,2026-02-27,7,97.96215429403202
GWO,Great-West Lifeco Inc.,63.32,57.840128,3.92,0.5728,14.967134,4.26,0.696,1750.604,68.56,49.54,1772496000,2026-03-03,11,27.81590633831248
SU,Suncor Energy Inc.,76.48,93.42251008,3.09,0.4763,16.035051,4.85,0.753,6916.08,78.17,43.59,1772582400,2026-03-04,12,75.45308557008488
MFI,Maple Leaf Foods Inc.,27.94,3.477446144,3.16,0.6065,17.987097,1.55,0.947,300.116,32.31111,18.933332,1773014400,2026-03-09,17,47.57043292749528
RCI.B,Rogers Communications Inc.,52.49,28.398159872,3.82,0.157,4.1067505,12.74,0.848,1694.091,56.15,32.42,1773100800,2026-03-10,18,61.90623072177668
IGM,IGM Financial Inc.,67.11,15.41334528,3.77,0.48490003,14.181036,4.64,1.18,419.545,68.55,38.89,1774915200,2026-03-31,39,72.56364103882746
NTR,Nutrien Ltd.,96.33,47.757541376,3.05,0.5863,19.463366,5.05,1.141,1929.654,99.79,65.35,1774915200,2026-03-31,39,47.406273909716916
