code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
CM,Canadian Imperial Bank of Commerce,134.58,121.587441664,3.24,0.415,13.775808,9.59,1.279,2815.775,143.8,76.17,1774569600,2026-03-27,14,76.68373375344625
IGM,IGM Financial Inc.,64.79,14.977647616,3.88,0.48490003,13.780172,4.64,1.108,461.838,69.48,38.89,1774915200,2026-03-31,18,66.59809719722296
HWX,Headwater Exploration Inc.,12.84,3.0299008,3.47,0.589,17.38356,0.73,1.079,844.103,13.29,4.75,1774915200,2026-03-31,18,170.3157894736842
TD,The Toronto-Dominion Bank,130.31,214.319448064,3.37,0.3425,10.383806,12.35,0.851,6070.926,136.49,78.06,1775692800,2026-04-09,27,66.93569049449141
BMO,Bank of Montreal,192.99,133.77466368,3.53,0.54330003,15.798999,11.99,1.16,2551.841,204.57,121.31,1777420800,2026-04-29,47,59.08828620888633
