code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,74.0,91.164131328,3.16,0.4763,15.647423,4.85,0.753,7005.093,76.25,43.59,1772582400,2026-03-04,20,69.76370727231014
OTEX,Open Text Corporation,35.27,8.301244416,4.54,0.6287,14.198276,2.32,1.087,1020.89,56.0,30.65,1772755200,2026-03-06,22,15.073409461663964
MFI,Maple Leaf Foods Inc.,27.03,3.408845312,3.22,0.6065,17.63226,1.55,0.947,305.683,32.31111,18.80889,1773014400,2026-03-09,25,43.70863990379017
RCI.B,Rogers Communications Inc.,50.95,27.909658624,3.89,0.157,4.0361066,12.74,0.848,1708.129,56.15,32.42,1773100800,2026-03-10,26,57.15607649599013
