code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,13.76,16.738802688,5.37,0.6457,12.026548,1.13,0.797,5176.137,13.98,6.87,1772150400,2026-02-27,2,100.29112081513827
GWO,Great-West Lifeco Inc.,64.89,57.994346496,3.91,0.5728,15.007042,4.26,0.696,1847.88,68.56,49.54,1772496000,2026-03-03,6,30.98506257569641
SU,Suncor Energy Inc.,77.07,92.137152512,3.13,0.4763,15.814433,4.85,0.753,7092.624,78.5,43.59,1772582400,2026-03-04,7,76.80660701995868
MFI,Maple Leaf Foods Inc.,27.95,3.462478848,3.17,0.6065,17.909678,1.55,0.947,304.2,32.31111,19.306667,1773014400,2026-03-09,12,44.76864390938114
RCI.B,Rogers Communications Inc.,52.85,28.97893376,3.75,0.157,4.1907377,12.74,0.848,1684.188,56.15,32.42,1773100800,2026-03-10,13,63.01665638494755
IGM,IGM Financial Inc.,67.32,16.116081664,3.6,0.48490003,14.827587,4.64,1.18,430.637,68.84,38.89,1774915200,2026-03-31,34,73.10362561069682
NTR,Nutrien Ltd.,98.48,48.428060672,3.0,0.5863,19.620079,5.08,1.141,1945.39,100.2,65.35,1774915200,2026-03-31,34,50.6962509563887
