code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFI,Maple Leaf Foods Inc.,26.81,3.53107968,3.28,0.6065,18.264517,1.55,0.968,314.625,32.31111,20.062222,1773014400,2026-03-09,3,33.634250483321345
RCI.B,Rogers Communications Inc.,55.28,30.145906688,3.6,0.157,4.359498,12.74,0.841,1652.788,56.27,32.42,1773100800,2026-03-10,4,70.51202961135101
CM,Canadian Imperial Bank of Commerce,138.09,127.508791296,3.12,0.45270002,16.005835,8.57,1.279,2816.585,143.8,76.17,1774569600,2026-03-27,21,81.29184718393067
IGM,IGM Financial Inc.,68.57,15.98256128,3.63,0.48490003,14.704742,4.64,1.108,459.24,69.48,38.89,1774915200,2026-03-31,25,76.31781949087167
TD,The Toronto-Dominion Bank,134.7,222.898388992,3.25,0.36330003,11.476232,11.57,0.851,6200.165,136.49,78.06,1775692800,2026-04-09,34,72.55956956187546
BMO,Bank of Montreal,199.29,139.04994304,3.39,0.54330003,16.422018,11.99,1.16,2625.098,204.57,121.31,1777420800,2026-04-29,54,64.28159261396421
