code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,72.72,88.245051392,3.27,0.4763,15.146392,4.85,0.753,6924.833,75.5,43.59,1772582400,2026-03-04,23,66.82725395732965
MFI,Maple Leaf Foods Inc.,26.42,3.35147008,3.28,0.6065,17.335485,1.55,0.947,316.233,32.31111,18.764444,1773014400,2026-03-09,28,40.798203240127975
RCI.B,Rogers Communications Inc.,50.32,26.753542144,4.06,0.157,3.868917,12.74,0.848,1682.22,56.15,32.42,1773100800,2026-03-10,29,55.21283158544108
