code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,11.92,14.6572288,6.13,0.6457,10.530973,1.13,0.902,4915.19,12.02,6.87,1769731200,2026-01-30,7,73.5080058224163
BMO,Bank of Montreal,187.66,136.92203008,3.49,0.5629,16.723534,11.43,1.223,2456.595,191.51,121.31,1769731200,2026-01-30,7,54.69458412332041
MFI,Maple Leaf Foods Inc.,25.64,3.18682752,3.44,0.6065,16.483871,1.55,0.981,334.311,32.31111,18.195557,1773014400,2026-03-09,45,40.913520811701446
