code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
WCP,Whitecap Resources Inc.,12.2,15.593321472,5.76,0.6457,11.20354,1.13,0.902,4931.575,12.69,6.87,1769731200,2026-01-30,2,77.58369723435224
BMO,Bank of Montreal,187.61,134.235881472,3.56,0.5629,16.395449,11.43,1.223,2365.98,191.51,121.31,1769731200,2026-01-30,2,54.65336740581981
MFI,Maple Leaf Foods Inc.,25.49,3.158139904,3.48,0.6065,16.335484,1.55,0.981,337.931,32.31111,18.195557,1773014400,2026-03-09,40,40.08914373987011
