code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
GWO,Great-West Lifeco Inc.,64.56,59.86308096,3.79,0.5728,15.490609,4.26,0.696,1833.948,68.56,49.54,1772496000,2026-03-03,4,30.318934194590234
SU,Suncor Energy Inc.,76.21,91.188158464,3.16,0.4763,15.651547,4.85,0.753,7116.373,78.5,43.59,1772582400,2026-03-04,5,74.83367744895617
MFI,Maple Leaf Foods Inc.,27.63,3.481188096,3.15,0.6065,18.006453,1.55,0.947,307.031,32.31111,20.062222,1773014400,2026-03-09,10,37.72153453391155
RCI.B,Rogers Communications Inc.,54.31,29.27746048,3.71,0.157,4.233909,12.74,0.848,1638.161,56.15,32.42,1773100800,2026-03-10,11,67.5200493522517
CM,Canadian Imperial Bank of Commerce,137.85,131.849863168,3.02,0.45270002,16.550758,8.57,1.282,2800.326,143.8,76.17,1774569600,2026-03-27,28,80.97676250492319
IGM,IGM Financial Inc.,68.24,16.2355456,3.58,0.48490003,14.9375,4.64,1.18,438.605,69.48,38.89,1774915200,2026-03-31,32,75.4692723065055
NTR,Nutrien Ltd.,99.15,48.583544832,3.0,0.5863,19.721893,5.07,1.141,1944.285,100.67,65.35,1774915200,2026-03-31,32,51.72149961744456
TD,The Toronto-Dominion Bank,132.96,226.860122112,3.2,0.36330003,11.700433,11.55,0.881,6253.766,135.88,78.06,1775692800,2026-04-09,41,70.33051498847041
