code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
CM,Canadian Imperial Bank of Commerce,134.94,123.86070528,3.18,0.415,14.018749,9.6,1.279,2816.916,143.8,76.17,1774569600,2026-03-27,15,77.15636077195745
IGM,IGM Financial Inc.,64.88,15.176757248,3.83,0.48490003,13.963363,4.64,1.108,463.728,69.48,38.89,1774915200,2026-03-31,19,66.82951915659551
HWX,Headwater Exploration Inc.,12.81,3.065715456,3.43,0.589,17.58904,0.73,1.079,829.905,13.29,4.75,1774915200,2026-03-31,19,169.68421052631578
TD,The Toronto-Dominion Bank,130.25,217.778880512,3.32,0.3425,10.551416,12.35,0.851,6111.477,136.49,78.06,1775692800,2026-04-09,28,66.85882654368433
BMO,Bank of Montreal,194.35,136.288722944,3.46,0.54330003,16.0825,12.0,1.16,2561.347,204.57,121.31,1777420800,2026-04-29,48,60.20938092490313
