code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,48.26,80.003170304,3.71,0.5513,15.217949,3.12,0.872,6199.027,49.82,36.93,1764115200,2025-11-26,8,30.67966422962361
WCP,Whitecap Resources Inc.,11.01,13.499679744,6.56,0.6457,9.840708,1.13,0.885,5907.004,11.3,6.87,1764288000,2025-11-28,10,60.26200873362445
GWO,Great-West Lifeco Inc.,62.55,58.00083456,3.89,0.5534,14.552205,4.31,0.715,1743.596,62.81,44.89,1764720000,2025-12-03,15,39.34061038093116
SU,Suncor Energy Inc.,62.17,75.767250944,3.84,0.53150004,14.55711,4.29,0.793,7370.52,63.09,43.59,1764720000,2025-12-03,15,42.62445515026381
OTEX,Open Text Corporation,47.24,11.744345088,3.25,0.5563,17.231342,2.68,1.076,1085.558,56.0,32.41,1764892800,2025-12-05,17,45.75748225856219
RCI.B,Rogers Communications Inc.,53.86,29.4600704,3.69,0.1604,4.34162,12.47,0.828,1879.016,56.15,32.42,1765152000,2025-12-08,20,66.13201727328808
MFI,Maple Leaf Foods Inc.,24.15,3.055862016,3.71,0.6065,15.806452,1.55,1.019,320.923,32.31111,17.43111,1765324800,2025-12-10,22,38.54539383894656
CVE,Cenovus Energy Inc.,25.4,47.613771776,3.17,0.4393,14.566474,1.73,0.722,11040.735,25.97,14.48,1765756800,2025-12-15,27,75.41436464088396
IGM,IGM Financial Inc.,55.61,13.124872192,4.05,0.5172,12.772414,4.35,1.17,313.393,57.54,38.89,1767052800,2025-12-30,42,42.99305734121882
HWX,Headwater Exploration Inc.,8.15,1.965018368,5.35,0.589,11.273972,0.73,1.085,680.219,8.29,4.75,1767139200,2025-12-31,43,71.57894736842107
NTR,Nutrien Ltd.,83.31,38.914449408,3.84,0.5863,15.401923,5.2,1.146,1679.698,88.03,62.89,1767139200,2025-12-31,43,32.46939100015901
POW,Power Corporation of Canada,69.68,44.339552256,3.52,0.50630003,14.683545,4.74,0.987,2295.308,71.97,41.88,1767139200,2025-12-31,43,66.38013371537727
