code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
GWO,Great-West Lifeco Inc.,65.99,59.781439488,3.79,0.5728,15.469483,4.26,0.696,1858.403,68.56,49.54,1772496000,2026-03-03,2,33.20549051271699
SU,Suncor Energy Inc.,75.91,92.55759872,3.11,0.4763,15.886599,4.85,0.753,7187.31,78.5,43.59,1772582400,2026-03-04,3,74.1454462032576
MFI,Maple Leaf Foods Inc.,27.91,3.496155648,3.14,0.6065,18.083872,1.55,0.947,314.56,32.31111,20.062222,1773014400,2026-03-09,8,39.11719250240578
RCI.B,Rogers Communications Inc.,53.94,29.548849152,3.67,0.157,4.273155,12.74,0.848,1665.796,56.15,32.42,1773100800,2026-03-10,9,66.3787785317705
CM,Canadian Imperial Bank of Commerce,141.84,128.08511488,3.11,0.45270002,16.07818,8.57,1.282,2858.9,143.8,76.17,1774569600,2026-03-27,26,86.2150452934226
IGM,IGM Financial Inc.,69.31,15.89588992,3.65,0.48490003,14.625001,4.64,1.18,448.46,69.48,38.89,1774915200,2026-03-31,30,78.2206222679352
TD,The Toronto-Dominion Bank,135.14,223.066259456,3.25,0.36330003,11.49481,11.56,0.881,6327.925,136.49,78.06,1775692800,2026-04-09,39,73.12323853446064
BMO,Bank of Montreal,203.64,138.63329792,3.4,0.54330003,16.37281,11.99,1.2,2711.05,204.57,121.31,1777420800,2026-04-29,59,67.867447036518
