code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,48.7,83.95452416,3.69,0.5733,16.309446,3.07,0.869,6106.875,52.97,36.93,1771891200,2026-02-24,10,31.871107500676963
WCP,Whitecap Resources Inc.,12.98,16.209171456,5.54,0.6457,11.646018,1.13,0.797,5286.701,13.33,6.87,1772150400,2026-02-27,13,88.93740902474528
GWO,Great-West Lifeco Inc.,61.04,56.043962368,4.05,0.5728,14.502346,4.26,0.696,1743.3,68.56,49.54,1772496000,2026-03-03,17,23.213564796124345
SU,Suncor Energy Inc.,74.9,91.596587008,3.15,0.4763,15.72165,4.85,0.753,7036.336,76.84,43.59,1772582400,2026-03-04,18,71.82840100940582
MFI,Maple Leaf Foods Inc.,27.62,3.461231616,3.17,0.6065,17.903227,1.55,0.947,302.416,32.31111,18.933332,1773014400,2026-03-09,23,45.88029196340085
RCI.B,Rogers Communications Inc.,52.57,28.69668864,3.78,0.157,4.1499214,12.74,0.848,1695.377,56.15,32.42,1773100800,2026-03-10,24,62.15299198025909
