code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,48.3,81.317453824,3.65,0.5513,15.467949,3.12,0.872,6282.233,49.82,36.93,1764115200,2025-11-26,10,30.78797725426482
WCP,Whitecap Resources Inc.,10.79,13.366139904,6.63,0.6457,9.743363,1.13,0.885,5890.838,11.3,6.87,1764288000,2025-11-28,12,57.05967976710333
GWO,Great-West Lifeco Inc.,62.64,57.566887936,3.9,0.5534,14.512761,4.31,0.715,1730.457,62.81,44.89,1764720000,2025-12-03,17,39.5411004678102
SU,Suncor Energy Inc.,61.18,74.682744832,3.86,0.53150004,14.491841,4.29,0.793,7354.301,62.59,43.59,1764720000,2025-12-03,17,40.35329203945858
OTEX,Open Text Corporation,48.1,12.288060416,3.18,0.5563,17.626865,2.68,1.076,1080.238,56.0,32.41,1764892800,2025-12-05,19,48.41098426411604
RCI.B,Rogers Communications Inc.,53.84,29.026482176,3.71,0.1604,4.319166,12.47,0.828,1875.311,56.15,32.42,1765152000,2025-12-08,22,66.0703269586675
MFI,Maple Leaf Foods Inc.,23.9,3.012206848,3.77,0.6065,15.580646,1.55,1.019,323.42,32.31111,17.43111,1765324800,2025-12-10,24,37.111176511421235
CVE,Cenovus Energy Inc.,25.03,47.991656448,3.15,0.4393,14.68208,1.73,0.722,11131.033,25.97,14.48,1765756800,2025-12-15,29,72.85911602209944
IGM,IGM Financial Inc.,56.41,13.540634624,4.05,0.5172,12.783909,4.35,1.17,312.139,57.54,38.89,1767052800,2025-12-30,44,45.050141424530715
HWX,Headwater Exploration Inc.,7.86,1.94591744,5.4,0.589,11.164383,0.73,1.085,676.809,8.19,4.75,1767139200,2025-12-31,45,65.47368421052632
NTR,Nutrien Ltd.,82.61,40.711774208,3.69,0.5863,15.990402,5.21,1.146,1663.749,88.03,62.89,1767139200,2025-12-31,45,31.35633646048656
POW,Power Corporation of Canada,70.5,44.286967808,3.52,0.50630003,14.700422,4.74,0.987,2284.52,71.97,41.88,1767139200,2025-12-31,45,68.33810888252148
