code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,47.48,79.110127616,3.75,0.5513,15.048078,3.12,0.872,6231.809,49.82,36.93,1764115200,2025-11-26,7,28.56756024911995
WCP,Whitecap Resources Inc.,11.12,14.094539776,6.28,0.6457,10.274336,1.13,0.885,5928.47,11.68,6.87,1764288000,2025-11-28,9,61.863173216884995
GWO,Great-West Lifeco Inc.,62.72,58.148798464,3.88,0.5534,14.589328,4.31,0.715,1755.403,63.1,44.89,1764720000,2025-12-03,14,39.71931387836934
SU,Suncor Energy Inc.,62.45,76.677185536,3.8,0.53150004,14.7319355,4.29,0.793,7484.743,63.51,43.59,1764720000,2025-12-03,14,43.2668043129158
OTEX,Open Text Corporation,46.18,11.736715264,3.26,0.5563,17.156134,2.69,1.076,1095.827,56.0,32.41,1764892800,2025-12-05,16,42.486886763344664
RCI.B,Rogers Communications Inc.,54.14,29.296826368,3.71,0.1604,4.317562,12.47,0.828,1882.251,56.15,32.42,1765152000,2025-12-08,19,66.99568167797655
MFI,Maple Leaf Foods Inc.,24.5,3.118226688,3.64,0.6065,16.129032,1.55,1.019,321.545,32.31111,17.43111,1765324800,2025-12-10,21,40.55329809748203
CVE,Cenovus Energy Inc.,25.2,48.917479424,3.09,0.4393,14.965318,1.73,0.722,11119.761,25.97,14.48,1765756800,2025-12-15,26,74.03314917127071
IGM,IGM Financial Inc.,55.56,13.110697984,4.05,0.5172,12.758621,4.35,1.17,316.606,57.54,38.89,1767052800,2025-12-30,41,42.864489586011835
HWX,Headwater Exploration Inc.,8.23,2.053360896,5.12,0.589,11.780822,0.73,1.085,679.795,8.63,4.75,1767139200,2025-12-31,42,73.26315789473685
NTR,Nutrien Ltd.,80.09,38.93874688,3.84,0.5863,15.352491,5.22,1.146,1686.093,88.03,62.89,1767139200,2025-12-31,42,27.349340117665772
POW,Power Corporation of Canada,69.6,43.517739008,3.59,0.50630003,14.411392,4.74,0.987,2339.351,71.97,41.88,1767139200,2025-12-31,42,66.18911174785099
