code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,47.66,80.542367744,3.69,0.5513,15.320513,3.12,0.872,6256.447,49.82,36.93,1764115200,2025-11-26,5,29.05496886000541
WCP,Whitecap Resources Inc.,11.72,14.058120192,6.23,0.6457,10.247787,1.13,0.885,6061.919,11.91,6.87,1764288000,2025-11-28,7,70.59679767103349
GWO,Great-West Lifeco Inc.,62.96,58.269011968,3.88,0.5534,14.61949,4.31,0.715,1753.482,63.31,44.89,1764720000,2025-12-03,12,40.25395411004678
SU,Suncor Energy Inc.,63.25,76.422406144,3.79,0.53150004,14.682984,4.29,0.793,7379.669,64.14,43.59,1764720000,2025-12-03,12,45.10208763477861
OTEX,Open Text Corporation,46.66,11.683308544,3.22,0.5563,17.46768,2.63,1.076,1087.522,56.0,32.41,1764892800,2025-12-05,14,43.96791113853749
RCI.B,Rogers Communications Inc.,53.93,28.97577984,3.71,0.1604,4.2702484,12.47,0.828,1887.088,56.15,32.42,1765152000,2025-12-08,17,66.3479333744602
MFI,Maple Leaf Foods Inc.,25.3,3.1282048,3.6,0.6065,16.285715,1.54,1.019,321.338,32.31111,17.43111,1765324800,2025-12-10,19,45.14279354556307
CVE,Cenovus Energy Inc.,25.68,48.065540096,3.12,0.4393,14.728323,1.73,0.722,11212.803,26.36,14.48,1765756800,2025-12-15,24,77.34806629834253
IGM,IGM Financial Inc.,55.94,13.113060352,4.02,0.5172,12.76092,4.35,1.17,321.079,57.54,38.89,1767052800,2025-12-30,39,43.84160452558498
HWX,Headwater Exploration Inc.,8.87,2.09156288,5.02,0.589,12.0,0.73,1.085,697.563,9.15,4.75,1767139200,2025-12-31,40,86.73684210526315
NTR,Nutrien Ltd.,78.68,37.714321408,3.91,0.5863,14.955685,5.19,1.146,1673.596,88.03,62.89,1767139200,2025-12-31,40,25.10733025918271
POW,Power Corporation of Canada,68.17,43.772567552,3.59,0.50630003,14.374476,4.78,0.987,2326.776,71.97,41.88,1767139200,2025-12-31,40,62.774594078319
