code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
CM,Canadian Imperial Bank of Commerce,135.35,122.314514432,3.22,0.415,13.843749,9.6,1.279,2800.354,143.8,76.17,1774569600,2026-03-27,17,77.69463043192857
IGM,IGM Financial Inc.,65.84,15.111169024,3.84,0.48490003,13.903018,4.64,1.108,463.95,69.48,38.89,1774915200,2026-03-31,21,69.29802005656983
HWX,Headwater Exploration Inc.,12.29,2.924845312,3.59,0.589,16.78082,0.73,1.079,812.545,13.29,4.75,1774915200,2026-03-31,21,158.73684210526312
TD,The Toronto-Dominion Bank,130.06,216.37505024,3.34,0.3425,10.4834,12.35,0.851,6179.855,136.49,78.06,1775692800,2026-04-09,30,66.61542403279527
BMO,Bank of Montreal,193.14,136.112177152,3.47,0.54330003,16.048294,12.01,1.16,2569.31,204.57,121.31,1777420800,2026-04-29,50,59.21193636138816
