code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
SU,Suncor Energy Inc.,77.05,94.960132096,3.04,0.4763,16.29897,4.85,0.753,6998.589,80.12,43.59,1772582400,2026-03-04,1,76.76072493691211
MFI,Maple Leaf Foods Inc.,28.03,3.425060096,3.2,0.6065,17.71613,1.55,0.968,317.581,32.31111,20.062222,1773014400,2026-03-09,6,39.71533163176045
RCI.B,Rogers Communications Inc.,54.44,30.42272256,3.57,0.157,4.399529,12.74,0.841,1660.758,56.27,32.42,1773100800,2026-03-10,7,67.9210363972856
CM,Canadian Imperial Bank of Commerce,137.79,128.903143424,3.09,0.45270002,16.180864,8.57,1.279,2870.015,143.8,76.17,1774569600,2026-03-27,24,80.89799133517131
IGM,IGM Financial Inc.,67.86,15.83967232,3.67,0.48490003,14.5732765,4.64,1.108,457.115,69.48,38.89,1774915200,2026-03-31,28,74.49215736693236
TD,The Toronto-Dominion Bank,132.88,225.584316416,3.21,0.36330003,11.624567,11.56,0.851,6397.055,136.49,78.06,1775692800,2026-04-09,37,70.22802972072763
BMO,Bank of Montreal,196.31,140.462342144,3.36,0.54330003,16.588823,11.99,1.16,2711.682,204.57,121.31,1777420800,2026-04-29,57,61.82507625092738
