code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,51.4,81.678696448,3.8,0.5733,15.863193,3.07,0.869,6008.959,52.97,36.93,1771891200,2026-02-24,11,39.18223666395883
SU,Suncor Energy Inc.,75.89,89.974874112,3.2,0.4763,15.443299,4.85,0.753,7073.89,76.84,43.59,1772582400,2026-03-04,19,74.09956412021104
MFI,Maple Leaf Foods Inc.,27.33,3.445016832,3.19,0.6065,17.819355,1.55,0.947,302.757,32.31111,18.933332,1773014400,2026-03-09,24,44.34860171469025
RCI.B,Rogers Communications Inc.,51.42,28.533856256,3.8,0.157,4.126374,12.74,0.848,1713.557,56.15,32.42,1773100800,2026-03-10,25,58.60579888957433
