code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFI,Maple Leaf Foods Inc.,27.46,3.365190144,3.26,0.6065,17.406452,1.55,0.968,316.986,32.31111,20.062222,1773014400,2026-03-09,5,36.874170767325786
RCI.B,Rogers Communications Inc.,56.05,29.92879616,3.63,0.157,4.3281007,12.74,0.841,1661.189,56.27,32.42,1773100800,2026-03-10,6,72.88710672424428
CM,Canadian Imperial Bank of Commerce,138.67,127.62963968,3.12,0.45270002,16.021004,8.57,1.279,2791.306,143.8,76.17,1774569600,2026-03-27,23,82.05330182486541
IGM,IGM Financial Inc.,67.62,15.710835712,3.7,0.48490003,14.4547415,4.64,1.108,461.481,69.48,38.89,1774915200,2026-03-31,27,73.87503214193882
TD,The Toronto-Dominion Bank,134.38,224.274939904,3.23,0.36330003,11.557094,11.56,0.851,6330.141,136.49,78.06,1775692800,2026-04-09,36,72.14962849090442
BMO,Bank of Montreal,198.9,138.873389056,3.4,0.54330003,16.387499,12.0,1.16,2669.665,204.57,121.31,1777420800,2026-04-29,56,63.9601022174594
